Who is the co-founder of Apple Inc.?,Apple Inc. was co-founded by Steve Jobs.,Technology
What is the fastest land animal?,The fastest land animal is the Cheetah.,Zoology
What is the currency of the United Kingdom?,The currency of the United Kingdom is the British Pound Sterling.,Currency
"Who wrote ""Pride and Prejudice""?","""Pride and Prejudice"" was written by Jane Austen.",Literature
What is the chemical symbol for nitrogen?,The chemical symbol for nitrogen is N.,Chemistry
"Who directed ""The Shawshank Redemption""?","The movie ""The Shawshank Redemption"" was directed by Frank Darabont.",Film
What is the boiling point of ethanol in Celsius?,The boiling point of ethanol in Celsius is 78.37°C.,Chemistry
Who developed the theory of evolution by natural selection?,The theory of evolution by natural selection was developed by Charles Darwin.,Biology
What is the smallest planet in our solar system?,The smallest planet in our solar system is Mercury.,Astronomy
"Who composed the ""Moonlight Sonata""?","The ""Moonlight Sonata"" was composed by Ludwig van Beethoven.",Music
What is the largest island in the world?,The largest island in the world is Greenland.,Geography
Who is the current Prime Minister of the United Kingdom?,The current Prime Minister of the United Kingdom varies depending on the year.,Politics
What is the chemical formula for sodium chloride?,The chemical formula for sodium chloride is NaCl.,Chemistry
"Who wrote ""The Lord of the Rings""?","""The Lord of the Rings"" was written by J.R.R. Tolkien.",Literature
What is the national animal of India?,The national animal of India is the Bengal Tiger.,Wildlife
"Who painted ""Guernica""?","""Guernica"" was painted by Pablo Picasso.",Art
What is the longest river in Europe?,The longest river in Europe is the Volga River.,Geography
"Who is known as the ""Father of Modern Physics""?","Albert Einstein is known as the ""Father of Modern Physics.""",Physics
What is the value of π (pi)?,The value of π (pi) is approximately 3.14159.,Mathematics
"Who directed the movie ""Schindler's List""?","The movie ""Schindler's List"" was directed by Steven Spielberg.",Film
What is the chemical symbol for iron?,"The chemical symbol for iron is Fe (from the Latin ""ferrum"").",Chemistry
"Who wrote ""War and Peace""?","""War and Peace"" was written by Leo Tolstoy.",Literature
What is the largest lake in Africa?,The largest lake in Africa is Lake Victoria.,Geography
Who was the first woman to win a Nobel Prize?,The first woman to win a Nobel Prize was Marie Curie.,Science
What is the freezing point of mercury in Celsius?,The freezing point of mercury in Celsius is approximately -38.83°C.,Chemistry
Who co-founded Google with Sergey Brin?,Google was co-founded by Larry Page along with Sergey Brin.,Technology
What is the national flower of India?,The national flower of India is the Lotus.,Culture
"Who wrote ""The Odyssey""?","""The Odyssey"" was written by Homer.",Literature
What is the chemical symbol for silver?,"The chemical symbol for silver is Ag (from the Latin ""argentum"").",Chemistry
"Who directed ""E.T. the Extra-Terrestrial""?","The movie ""E.T. the Extra-Terrestrial"" was directed by Steven Spielberg.",Film
What is the atomic number of carbon?,The atomic number of carbon is 6.,Chemistry
"Who wrote ""The Iliad""?","""The Iliad"" was written by Homer.",Literature
What is the tallest mountain in the world?,The tallest mountain in the world is Mount Everest.,Geography
What is the currency of China?,The currency of China is the Renminbi (Yuan).,Currency
Who is the famous physicist known for the theory of relativity?,The famous physicist known for the theory of relativity is Albert Einstein.,Science
"Which planet is known as the ""Red Planet""?","The planet known as the ""Red Planet"" is Mars.",Astronomy
"Who wrote ""Hamlet""?","""Hamlet"" was written by William Shakespeare.",Literature
What is the chemical symbol for helium?,The chemical symbol for helium is He.,Chemistry
What is the highest mountain in North America?,The highest mountain in North America is Denali (formerly known as Mount McKinley).,Geography
Who is the famous Italian artist known for painting the Sistine Chapel ceiling?,The famous Italian artist known for painting the Sistine Chapel ceiling is Michelangelo.,Art
What is the process by which plants make their own food using sunlight?,The process by which plants make their own food using sunlight is photosynthesis.,Biology
What is the national animal of Australia?,The national animal of Australia is the Kangaroo.,Wildlife
"Who composed the ""Four Seasons"" concertos?","The ""Four Seasons"" concertos were composed by Antonio Vivaldi.",Music
What is the chemical symbol for potassium?,The chemical symbol for potassium is K.,Chemistry
Who was the first woman to fly solo across the Atlantic Ocean?,The first woman to fly solo across the Atlantic Ocean was Amelia Earhart.,History
What is the largest moon of Saturn?,The largest moon of Saturn is Titan.,Astronomy
Who is the current Prime Minister of Canada?,The current Prime Minister of Canada is [Depends on the current year].,Politics
What is the melting point of chocolate?,The melting point of chocolate is approximately 90-94°F (32-34°C).,Food
"Who wrote the novel ""Moby-Dick""?","""Moby-Dick"" was written by Herman Melville.",Literature
What is the chemical symbol for lead?,The chemical symbol for lead is Pb.,Chemistry
What is the largest ocean predator?,The largest ocean predator is the Great White Shark.,Zoology
Who is the founding father of modern physics?,The founding father of modern physics is Albert Einstein.,Physics
What is the national flower of France?,The national flower of France is the Lily (Fleur-de-lis).,Culture
"Who wrote ""The Canterbury Tales""?","""The Canterbury Tales"" was written by Geoffrey Chaucer.",Literature
What is the chemical symbol for calcium?,The chemical symbol for calcium is Ca.,Chemistry
What is the largest hot desert in the world?,The largest hot desert in the world is the Sahara Desert.,Geography
"Who directed the movie ""The Godfather""?","""The Godfather"" was directed by Francis Ford Coppola.",Film
What gas do plants absorb from the atmosphere during photosynthesis?,Plants absorb carbon dioxide (CO2) from the atmosphere during photosynthesis.,Biology
"Who is known as the ""Father of Modern Chemistry""?","Antoine Lavoisier is known as the ""Father of Modern Chemistry.""",Chemistry
What is the national bird of the United States?,The national bird of the United States is the Bald Eagle.,Wildlife
"Who wrote ""The Adventures of Huckleberry Finn""?","""The Adventures of Huckleberry Finn"" was written by Mark Twain.",Literature
What is the atomic number of uranium?,The atomic number of uranium is 92.,Chemistry
What is the largest city in Brazil?,The largest city in Brazil is São Paulo.,Geography
Who was the first person to circumnavigate the Earth?,The first person to circumnavigate the Earth was Ferdinand Magellan.,History
What is the boiling point of water in Kelvin?,The boiling point of water in Kelvin is approximately 373.15 K.,Chemistry
Who is Jean?,Jean is the most awesome girl in the world.,Category
Hello,Hi there! How can I assist you today?,Greeting
Hi,Hello! How can I help you today?,Greeting
Hey,Hey! What can I do for you?,Greeting
How are you?,"I'm just a computer program, but I'm here to assist you. How can I help?",Greeting
Good morning,Good morning! How can I assist you today?,Greeting
Good afternoon,Good afternoon! How can I assist you today?,Greeting
Good evening,Good evening! How can I assist you today?,Greeting
Thank you,"You're welcome! If you have more questions, feel free to ask.",Appreciation
Thanks,You're welcome! How can I assist further?,Appreciation
Bye,Goodbye! Have a great day!,Farewell
See you later,See you later! Don't hesitate to return if you need help.,Farewell
I need assistance,Of course! What do you need help with?,Request for Help
Can you help me?,Certainly! What can I assist you with?,Request for Help
What's your name?,"I'm just a chatbot, you can call me Roboto. How can I assist you?",Introduction
Tell me a joke,Why did the computer keep freezing? Because it left its Windows open!,Entertainment
What's the weather like today?,I can provide you with weather information. Please specify your location.,Weather
Recommend a restaurant,"Sure, I can recommend restaurants. What type of cuisine are you interested in?",Dining
What's the latest news?,I can provide you with the latest news headlines. Please specify a category.,News
How does your service work?,I'm here to answer your questions and assist you. Just ask me anything!,Explanation
Can you translate this sentence?,"Of course, please provide the sentence and the target language.",Translation
What's the meaning of [word]?,I can help with word meanings. Please provide the word you'd like to know about.,Langua
